ticker,timestamp,open,high,low,close,volume,ema_9,ema_21,ema_50,ema_200,rsi,adx,atr,supertrend,vwap,fvg_bullish,fvg_bearish,liquidity_sweep,volume_spike,market_regime,volatility_regime,signal_type,outcome,target_hit,stop_hit,holding_period
TCS,2025-08-22,3019.639270954844,3029.1306363096523,2984.4134077810354,2988.327392578125,1593791,2990.988352395859,3017.7390792099104,3118.8401755596674,3430.8860831621087,58.11066475993061,43.764803788720535,44.85704206495149,3059.4150159564015,3662.4275649479346,0,0,0,0,-1,0,SELL,WIN,1,0,1
TCS,2025-09-02,3053.9847239556466,3087.1556510845603,3036.371791556432,3044.591064453125,2185229,3031.1007573535867,3030.746779383628,3103.8895642168795,3408.1385347630385,59.40412019548925,35.48459988693573,50.35059227101715,2922.6898357611376,3651.0673877797417,0,0,0,0,-1,0,BUY,LOSS,0,1,3
TCS,2025-09-03,3062.595272321678,3074.33722714916,3021.5963756053266,3030.89208984375,1799774,3031.0590238516197,3030.759989425457,3101.0269173233633,3404.295358069152,58.07545130031725,35.55923346738729,49.26026136440633,2922.6898357611376,3649.915907825591,0,0,0,0,-1,0,BUY,LOSS,0,1,2
TCS,2025-09-12,3076.3919302537256,3080.990814432397,3053.886518550216,3066.019775390625,1447167,3029.3389444894738,3026.303837842826,3080.897766201619,3377.5350645603326,59.645260235442464,29.218135466546368,50.50435772348692,2928.2672376852743,3639.9026336058373,0,0,0,0,-1,0,BUY,LOSS,0,1,6
TCS,2025-09-15,3066.607284819441,3066.607284819441,3029.4244268669395,3044.982421875,1732539,3032.4676399665796,3028.0018909366595,3079.489321026089,3374.153401243755,45.85855400067111,26.37208302207253,46.310790516921806,2928.2672376852743,3638.8419715005593,0,0,0,0,-1,0,BUY,LOSS,0,1,6
TCS,2025-10-29,3003.3032409472494,3021.080174034828,2991.714113509379,3003.0087890625,2895420,2985.8472759952856,2968.56891440328,2994.7487007067552,3264.56936141428,55.91105215437101,32.87170872996666,45.353363082828764,2887.3426584552694,3575.522684994039,0,0,0,0,-1,0,BUY,LOSS,0,1,3
TCS,2025-10-30,2994.6603471523654,3009.0978400091353,2978.6513253692647,2981.106689453125,2241536,2984.8991586868538,2969.708712135084,2994.213719840312,3261.7036628112005,47.79213150255759,31.011910908621395,44.313055133473135,2887.3426584552694,3574.295873349744,0,0,0,0,-1,0,BUY,LOSS,0,1,3
TCS,2025-10-31,2980.8120174669925,3012.6334402910475,2971.088871543434,3003.4013671875,1868085,2988.599600386983,2972.7716807762126,2994.5740197576124,3259.0927420308044,56.21158456165962,29.381598424279893,42.87029558175953,2887.3426584552694,3573.2879801756035,0,0,0,0,-1,0,BUY,LOSS,0,1,1
TCS,2025-11-10,2939.5619693268272,2993.4816703122747,2938.579823663838,2971.18701171875,1556656,2965.6506553360578,2965.5446199428147,2987.118507343258,3243.95563929598,58.44506630003992,25.749780669817365,45.50137118828174,2887.3426584552694,3567.1187052036394,0,0,0,0,-1,0,BUY,WIN,1,0,2
TCS,2025-12-02,3075.0980746626374,3087.8659682974553,3064.6872347092776,3079.714111328125,2512003,3076.1366804539994,3051.0815678594063,3027.0117989053397,3217.804574342188,50.87325768699426,32.3469791064756,37.79155856223526,2971.6782491979143,3546.5722086172314,0,0,0,0,-1,0,BUY,WIN,1,0,2
